run,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,target_class
1,0.3611811142120023,0.35307785394465574,0.32860670294751526,0.3096840504160776,0.30013265242017256,0.3043682206103901,-2.998852380717733,0.33173424905553145,0.3929998016915127,0.3170677354198749,6
2,0.4497508511939389,0.395877782435283,0.2602548256009293,0.4278381911898799,0.3032055878256967,0.3199010582945949,-2.992448269744338,0.22319553618902535,0.26377200162000125,0.3486524353949874,6
3,0.2899236415038606,0.3053282634251716,0.34572470587649273,0.35882834565125793,0.2594753306959459,0.3755941618174239,-2.9977715148769284,0.33265593359489176,0.39621937363320053,0.33402175867868256,6
4,0.43125376492263434,0.10976837479155876,0.5582829492302706,0.021716433797455838,0.8035851405149048,0.20664333416462546,-2.904684923464678,0.12016215780617137,0.5863071727582014,0.06696559547886365,6
5,0.3864403811488376,0.46114120906088674,0.6584863918251653,0.10250631270592062,0.2643572913156232,0.15056967400745935,-2.964018310465754,0.22800101343903056,0.28808327206496825,0.42443276489785325,6
6,0.40467599120203784,0.27412423719763773,0.37240527123845446,0.37911980655777383,0.3570012325380444,0.31480314888690514,-2.997396836807646,0.28522158140139053,0.31392583041727445,0.29611973736812675,6
7,0.31723596632732887,0.3737988448619618,0.35229675644409086,0.29826879577558785,0.3557910935319075,0.3312361049105592,-2.9988715987371566,0.32193001095210116,0.3632866026488193,0.2850274232847992,6
8,0.3493966045505365,0.32195893391701924,0.35210363899313324,0.35898661344090976,0.35724700443406704,0.26218517789202045,-2.9988794824205427,0.32492189890205025,0.34647396559481264,0.32560564469599523,6
9,0.4183476366239324,0.3651420803607164,0.34604553538000504,0.2945068016302514,0.3110896783714306,0.30543424093764415,-2.9968787585432284,0.36204045652189726,0.35172720954214676,0.24254511917520427,6
10,0.31611745117591106,0.30539970569636643,0.2963517596916233,0.3976993111483229,0.3563177935605169,0.34850020507109086,-2.9988393544557543,0.3179987745784352,0.3292107423163262,0.33124361121716206,6
